"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"FY19Q1","FA19_UG_HS_FB_DISP_IG","HS_FB_DISP","FB_DISP","687,379","0.41%","1,222","53.38%", 00:00:15.0,"$ 1510.27","08-2018","05-2019"
"FY19Q1","FA19_UG_HS_FB_VID_IG","HS_FB_VID","FB_VID","82,996","0.56%","97","58.33%", 00:00:10.0,"$ 469.01","08-2018","01-2019"
"FY19Q1","FA19_UG_HS_IG_DISP_IG","HS_IG_DISP","IG_DISP","52,094","0.3%","34","79.41%", 00:00:00.0,"$ 355.86","08-2018","02-2019"
"FY19Q1","FA19_UG_HS_IG_VID_IG","HS_IG_VID","IG_VID","100,178","0.27%","45","75%", 00:00:25.0,"$ 707.38","08-2018","06-2019"
"FY19Q1","FA19_UG_HS_PIN_DISP_BR","HS_PIN_DISP","PIN_DISP","6,195","0.53%","13","84.62%", 00:11:30.0,"$ 6.33","09-2018","01-2019"
"FY19Q1","FA19_UG_HS_SC_VID_IG","HS_SC_VID","SC_VID","8,706","0.91%","87","94.12%", 00:00:50.0,"$ 13.82","08-2018","03-2020"
"FY19Q1","FA19_UG_IN_PIN_DISP_BR","IN_PIN_DISP","PIN_DISP","4,074","0.49%","13","84.62%", 00:00:10.0,"$ 3.93","09-2018","01-2020"
"FY19Q1","FA19_UG_TL_DBM_DISP_IG","TL_DBM_DISP","DBM_DISP","664,689","0.07%","393","88.74%", 00:01:30.0,"$ 3459.31","09-2018","03-2020"
"FY19Q1","FA19_UG_TL_FB_DISP_IG","TL_FB_DISP","FB_DISP","591,066","0.54%","1,805","92.45%", 00:02:40.0,"$ 941.59","08-2018","12-2019"
"FY19Q1","FA19_UG_TL_FB_VID_IG","TL_FB_VID","FB_VID","34,660","1.08%","232","91.74%", 00:04:45.0,"$ 208.41","09-2018","11-2018"
"FY19Q1","FA19_UG_TL_IG_DISP_IG","TL_IG_DISP","IG_DISP","146,378","0.25%","69","78.33%", 00:00:30.0,"$ 667.59","08-2018","11-2018"
"FY19Q1","FA19_UG_TL_IG_VID_IG","TL_IG_VID","IG_VID","153,263","0.24%","54","94.23%", 00:00:30.0,"$ 682.41","09-2018","11-2018"
"FY19Q1","FA19_UG_TL_SC_VID_IG","TL_SC_VID","SC_VID","81,469","1.6%","513","97.83%", 00:01:45.0,"$ 132.71","09-2018","03-2020"
"FY19Q2","FA19_UG_HS_FB_DISP_IG","HS_FB_DISP","FB_DISP","315,792","0.34%","432","93.36%", 00:02:45.0,"$ 720.96","08-2018","05-2019"
"FY19Q2","FA19_UG_HS_FB_VID_IG","HS_FB_VID","FB_VID","65,498","0.56%","88","90.91%", 00:00:10.0,"$ 299.76","08-2018","01-2019"
"FY19Q2","FA19_UG_HS_IG_DISP_IG","HS_IG_DISP","IG_DISP","43,043","0.22%","13","100%",NA,"$ 195.41","08-2018","02-2019"
"FY19Q2","FA19_UG_HS_IG_VID_IG","HS_IG_VID","IG_VID","154,802","0.2%","45","84.21%", 00:00:35.0,"$ 619.58","08-2018","06-2019"
"FY19Q2","FA19_UG_HS_PIN_DISP_BR","HS_PIN_DISP","PIN_DISP","241,825","0.25%","101","92.86%", 00:04:05.0,"$ 1060.63","09-2018","01-2019"
"FY19Q2","FA19_UG_HS_SC_VID_IG","HS_SC_VID","SC_VID","131,235","0.91%","196","97.92%", 00:00:40.0,"$ 212.83","08-2018","03-2020"
"FY19Q2","FA19_UG_IN_PIN_DISP_BR","IN_PIN_DISP","PIN_DISP","208,289","0.3%","229","85.34%", 00:01:15.0,"$ 1059.65","09-2018","01-2020"
"FY19Q2","FA19_UG_TL_DBM_DISP_IG","TL_DBM_DISP","DBM_DISP","1,117,597","0.17%","882","94.59%", 00:03:10.0,"$ 6540.57","09-2018","03-2020"
"FY19Q2","FA19_UG_TL_FB_DISP_IG","TL_FB_DISP","FB_DISP","408,329","0.68%","1,385","93.25%", 00:01:50.0,"$ 970.6","08-2018","12-2019"
"FY19Q2","FA19_UG_TL_FB_VID_IG","TL_FB_VID","FB_VID","35,106","0.75%","163","88.31%", 00:01:40.0,"$ 179.4","09-2018","11-2018"
"FY19Q2","FA19_UG_TL_IG_DISP_IG","TL_IG_DISP","IG_DISP","178,927","0.16%","81","97.47%", 00:00:35.0,"$ 684.11","08-2018","11-2018"
"FY19Q2","FA19_UG_TL_IG_VID_IG","TL_IG_VID","IG_VID","207,488","0.16%","101","96.88%", 00:00:15.0,"$ 665.7","09-2018","11-2018"
"FY19Q2","FA19_UG_TL_SC_VID_IG","TL_SC_VID","SC_VID","644,348","1.23%","1,266","97.52%", 00:00:35.0,"$ 1064.56","09-2018","03-2020"
"FY19Q3","FA19_UG_HS_FB_DISP_IG","HS_FB_DISP","FB_DISP","54,832","0.37%","20","100%",NA,"$ 168.46","08-2018","05-2019"
"FY19Q3","FA19_UG_HS_FB_VID_IG","HS_FB_VID","FB_VID","32,563","0.45%","19","94.44%", 00:01:15.0,"$ 164.47","08-2018","01-2019"
"FY19Q3","FA19_UG_HS_IG_DISP_IG","HS_IG_DISP","IG_DISP","27,029","0.27%","12","90.91%", 00:01:15.0,"$ 85.74","08-2018","02-2019"
"FY19Q3","FA19_UG_HS_IG_VID_IG","HS_IG_VID","IG_VID","95,569","0.17%","17","93.75%", 00:00:40.0,"$ 307.33","08-2018","06-2019"
"FY19Q3","FA19_UG_HS_PIN_DISP_BR","HS_PIN_DISP","PIN_DISP","25,208","0.25%","27","96.15%", 00:00:35.0,"$ 99.4","09-2018","01-2019"
"FY19Q3","FA19_UG_IN_PIN_DISP_BR","IN_PIN_DISP","PIN_DISP","179,161","0.29%","289","84.98%", 00:01:05.0,"$ 833.47","09-2018","01-2020"
"FY19Q3","FA20_UG_TL_DBM_DISP_BR","TL_DBM_DISP","DBM_DISP","222,128","0.17%","465","85.52%", 00:00:35.0,"$ 2842.45","03-2019","11-2019"
"FY19Q3","FA20_UG_TL_FB_CAR_BR","TL_FB_CAR","FB_CAR","34,550","0.44%","80","96.15%", 00:00:25.0,"$ 106.71","03-2019","11-2019"
"FY19Q3","FA20_UG_TL_FB_DISP_BR","TL_FB_DISP","FB_DISP","99,047","0.34%","199","89.95%", 00:01:35.0,"$ 310.32","03-2019","03-2020"
"FY19Q3","FA20_UG_TL_FB_VID_BR","TL_FB_VID","FB_VID","90,057","0.66%","229","94.52%", 00:01:05.0,"$ 582.97","03-2019","11-2019"
"FY19Q3","FA20_UG_TL_IG_CAR_BR","TL_IG_CAR","IG_CAR","25,923","0.2%","43","95.24%", 00:00:45.0,"$ 93.3","03-2019","11-2019"
"FY19Q3","FA20_UG_TL_IG_DISP_BR","TL_IG_DISP","IG_DISP","104,776","0.2%","96","96.7%", 00:00:40.0,"$ 422.78","03-2019","03-2020"
"FY19Q3","FA20_UG_TL_IG_VID_BR","TL_IG_VID","IG_VID","109,045","0.17%","80","97.37%", 00:00:35.0,"$ 483.92","03-2019","11-2019"
"FY19Q4","FA19_UG_HS_IG_VID_IG","HS_IG_VID","IG_VID","99,309","0.12%","18","100%",NA,"$ 432.85","08-2018","06-2019"
"FY19Q4","FA20_UG_TL_DBM_DISP_BR","TL_DBM_DISP","DBM_DISP","697,602","0.16%","1,361","83.13%", 00:01:30.0,"$ 8058.08","03-2019","11-2019"
"FY19Q4","FA20_UG_TL_FB_CAR_BR","TL_FB_CAR","FB_CAR","36,579","0.27%","63","93.33%", 00:01:25.0,"$ 145.68","03-2019","11-2019"
"FY19Q4","FA20_UG_TL_FB_DISP_BR","TL_FB_DISP","FB_DISP","215,179","0.33%","389","93.26%", 00:02:25.0,"$ 694.6","03-2019","03-2020"
"FY19Q4","FA20_UG_TL_FB_VID_BR","TL_FB_VID","FB_VID","226,544","0.56%","374","96.73%", 00:02:15.0,"$ 1521.8","03-2019","11-2019"
"FY19Q4","FA20_UG_TL_IG_CAR_BR","TL_IG_CAR","IG_CAR","40,681","0.16%","31","96.67%", 00:00:20.0,"$ 289.79","03-2019","11-2019"
"FY19Q4","FA20_UG_TL_IG_DISP_BR","TL_IG_DISP","IG_DISP","136,517","0.16%","127","94.78%", 00:00:15.0,"$ 886.87","03-2019","03-2020"
"FY19Q4","FA20_UG_TL_IG_VID_BR","TL_IG_VID","IG_VID","207,557","0.12%","107","97.14%", 00:00:20.0,"$ 1328.1","03-2019","11-2019"
"FY20Q1","FA20_UG_HS_DBM_DISP_IG","HS_DBM_DISP","DBM_DISP","590,258","0.08%","1,012","71.78%", 00:00:15.0,"$ 9089.24","08-2019","Ongoing"
"FY20Q1","FA20_UG_HS_FB_DISP_IG","HS_FB_DISP","FB_DISP","265,646","0.44%","283","88.89%", 00:01:05.0,"$ 700.62","08-2019","03-2020"
"FY20Q1","FA20_UG_HS_IG_DISP_IG","HS_IG_DISP","IG_DISP","229,217","0.24%","248","93.21%", 00:01:05.0,"$ 1758.83","08-2019","01-2020"
